code_site	Itineraire	X	Y	commune	cours_eau	date_visite	Annee	Mois	Jour	observateurs	statut_observation	description	observation	bilan_choix_site	nombre_epreinte	nb_ep_tot	nb_ep_w	nb_ep_dnf	nb_ep_df
372	1	48.663	 -3.601	Plestin les grèves	Quinquis	02/03/2021	2021	3	2	Nicolas Boudereaux / David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
41	1	48.653	 -3.603	Plestin les grèves	Quinquis	02/03/2021	2021	3	2	Nicolas Boudereaux / David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
42	1	48.655505	 -3.599438	Plestin les grèves	Quinquis	02/03/2021	2021	3	2	Nicolas Boudereaux / David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
45	2	48.59425	 -3.57095	Plufur	Yar	24/02/2021	2021	2	24	David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
46	3	48.632757	 -3.562284	Plufur	Yar	08/03/2021	2021	3	8	Nicolas Boudereaux	0	NA	NA	Favorable	NA	0	0	0	0
52	3	48.632757	 -3.562284	Lanvellec	Yar (Dour Elego)	09/03/2021	2021	3	9	Nicolas Boudereaux	0	NA	NA	Favorable	NA	0	0	0	0
53	2	48.61999	 -3.5675	Plufur	Yar	23/03/2021	2021	3	23	David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
54	2	48.60418	 -3.5697	Plufur	Yar	24/02/2021	2021	2	24	David Menanteau	0	NA	NA	Très favorable	NA	0	0	0	0
58	1	48.599651,	 -3.601555	Trémel	Yar	02/03/2021	2021	3	2	Nicolas Boudereaux / David Menanteau	1	Sèche et disloquée	NA	Très favorable	NA	1	0	0	1
61	1	48.566940	  -3.563340	Plounérin	Yar	02/03/2021	2021	3	2	Nicolas Boudereaux / David Menanteau	x	Nombreuses et diverses	NA	Très favorable	NA	0	x	x	x
62	1	48.560412	 -3.569003	Plounérin	Yar	19/02/2021	2021	2	19	David Menanteau	1	Sèche et disloquée	NA	NA	NA	1	0	0	1
64	1	48.554	- 3.578	Plounérin	Yar	02/03/2021	2021	3	2	Nicolas Boudereaux / David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
65	1	48.553	 - 3.580	Plounérin	Yar	02/03/2021	2021	3	2	Nicolas Boudereaux / David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
68	3	48.572835	 -3.551346	Plounérin	Yar	08/03/2021	2021	3	8	Nicolas Boudereaux	0	NA	NA	Favorable	NA	0	0	0	0
69	3	48.56967	 -3.52704	Plounérin	Yar (Dour Elego)	08/03/2021	2021	3	8	Nicolas Boudereaux	0	NA	NA	Favorable	NA	0	0	0	0
70	3	48.57807,	 -3.54197	Plounérin	Yar	08/03/2021	2021	3	8	Nicolas Boudereaux	0	NA	NA	Favorable	NA	0	0	0	0
72	NA	NA	NA	Plounérin	Yar (Dour Elego)	NA	NA	NA	NA	NA	NA	NA	NA	Très favorable	NA	NA	NA	NA	NA
73	3	48.58387	-3.52232	Plounérin	Yar (Dour Elego)	08/03/2021	2021	3	8	Nicolas Boudereaux	0	NA	NA	Très favorable	NA	0	0	0	0
732	3	48.58358,	-3.52669	Plounérin	Yar	08/03/2021	2021	3	8	Nicolas Boudereaux	0	NA	NA	Favorable	NA	0	0	0	0
74	2	48.62057	 -3.54953	Plufur	Yar (Dour Elego)	24/02/2002	2002	2	24	David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
79	3	48.614383	 -3.535376	Lanvellec	Roscoat (affluent)	08/03/2021	2021	3	8	Nicolas Boudereaux	0	NA	NA	Favorable	NA	0	0	0	0
80	1	48.572,	 -3.574	Plounérin	Yar	02/03/2021	2021	3	2	Nicolas Boudereaux / David Menanteau	2	Fraiche	NA	Favorable	NA	1	1	0	0
84	1	48.567684	 -3.568024	Plounérin	Yar	02/03/2021	2021	3	2	Nicolas Boudereaux / David Menanteau	2	Fraiche	NA	Très favorable	NA	1	1	0	0
85	1	48.567294	 -3.563966	Plounérin	Yar	02/03/2021	2021	3	2	Nicolas Boudereaux / David Menanteau	1	Fraiche	NA	Très favorable	NA	1	1	0	0
86	1	48.566896	 -3.561653	Plounérin	Yar	19/02/2021	2021	2	19	David Menanteau	1	Sèche et disloquée	NA	Favorable	NA	1	0	0	1
91	1	48.669011	 -3.595285	Saint Efflam	Quinquis	02/03/2021	2021	3	2	Nicolas Boudereaux / David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
93	2	48.64606	 -3.57688	Plestin les Grèves	Yar (Dour Elego)	23/03/2021	2021	3	23	David Menanteau	1	Sèche et disloquée	NA	Favorable	NA	1	0	0	1
97	4	48.646675	 -3.523823	Plouzélambre	Roscoat (affluent)	23/03/2021	2021	3	23	Nicolas Boudereaux	0	NA	NA	Favorable	NA	0	0	0	0
98	4	48.63718	 -3.52098	Plouzélambre	Roscoat	23/03/2021	2021	3	23	Nicolas Boudereaux	0	NA	NA	Favorable	NA	0	0	0	0
108	4	48.61957	-3.53	Lanvellec	Roscoat (affluent)	23/03/2021	2021	3	23	Nicolas Boudereaux	0	NA	NA	Favorable	NA	0	0	0	0
109	4	48.61617	 -3.53018	Lanvellec	Roscoat (affluent)	23/03/2021	2021	3	23	Nicolas Boudereaux	0	NA	NA	Favorable	NA	0	0	0	0
110	4	48.61152	 -3.51675	Lanvellec	Roscoat (affluent)	23/03/2021	2021	3	23	Nicolas Boudereaux	0	NA	NA	Favorable	NA	0	0	0	0
113	1	48.56544	-3.563496	Plounérin	Yar	01/03/2021	2021	3	1	Nicolas Boudereaux / David Menanteau	1	Sèche et disloquée	Nicolas Boudereaux / David Menanteau	Favorable	NA	1	0	0	1
114	1	48.564550	  -3.561585	Plounérin	Yar	01/03/2021	2021	3	1	Nicolas Boudereaux / David Menanteau	1	Sèche et disloquée	NA	Favorable	NA	1	0	0	1
115	2	48.5952	 -3.59922	Plufur	Yar	24/02/2002	2002	2	24	David Menanteau	2	Fraiche	NA	Favorable	NA	1	1	0	0
116	3	48.59376	-3.54209	Lanvellec	Yar (Dour Elego)	08/03/2021	2021	3	8	Nicolas Boudereaux	0	NA	NA	Favorable	NA	0	0	0	0
117	3	48.65818	 -3.55925	Tréduder	Roscoat	09/03/2021	2021	3	9	Nicolas Boudereaux	0	NA	NA	Favorable	NA	0	0	0	0
118	4	48.62591	 -3.53416	Lanvellec	Roscoat (affluent)	23/03/2021	2021	3	23	Nicolas Boudereaux	0	NA	NA	Favorable	NA	0	0	0	0
119	2	48.625,	 -3.567	Plufur	Yar (Dour Elego)	23/03/2021	2021	3	23	David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
